,Year,Car,PTS,Champion,Average_points_Scored,No_of_times_secured_front_grid,Total_no_of_fastest_Laps,Win_percentage
78,1960,Cooper Climax,115.0,1,1.9615384615384615,4.0,3.0,0.6
79,1960,Cooper Maserati,13.0,4,0.17647058823529413,0.0,0.0,0.0
80,1960,Epperly Offenhauser,4.0,4,0.6666666666666666,0.0,0.0,0.0
81,1960,Ferrari,18.0,3,1.7916666666666667,1.0,2.0,0.1
82,1960,Lesovsky Offenhauser,2.0,4,2.0,0.0,0.0,0.0
83,1960,Lotus Climax,51.0,2,1.7333333333333334,4.0,3.0,0.2
84,1960,Phillips Offenhauser,3.0,4,3.0,0.0,0.0,0.0
85,1960,Porsche,1.0,4,0.5,0.0,0.0,0.0
86,1960,Trevis Offenhauser,1.0,4,0.5,0.0,0.0,0.0
87,1960,Watson Offenhauser,14.0,4,1.75,0.0,1.0,0.1
88,1961,BRM Climax,9.0,4,0.5625,0.0,1.0,0.0
89,1961,Cooper Climax,24.0,3,0.5454545454545454,1.0,1.0,0.0
90,1961,Ferrari,92.0,1,3.6666666666666665,6.0,5.0,0.625
91,1961,Lotus Climax,47.0,2,0.8148148148148148,1.0,1.0,0.375
92,1961,Porsche,24.0,3,0.96,0.0,0.0,0.0
93,1962,BRM,52.0,1,3.263157894736842,1.0,3.0,0.4444444444444444
94,1962,Brabham Climax,9.0,4,2.0,0.0,0.0,0.0
95,1962,Cooper Climax,40.0,2,1.6071428571428572,0.0,1.0,0.1111111111111111
96,1962,Ferrari,30.0,4,1.5,0.0,0.0,0.0
97,1962,Lola Climax,19.0,4,1.1875,1.0,0.0,0.0
98,1962,Lotus BRM,1.0,4,0.14285714285714285,0.0,0.0,0.0
99,1962,Lotus Climax,39.0,3,0.84,6.0,5.0,0.3333333333333333
100,1962,Porsche,20.0,4,0.8,1.0,0.0,0.1111111111111111
101,1963,ATS,0.0,4,0.0,0.0,0.0,0.0
102,1963,Alfa Romeo,0.0,4,0.0,0.0,0.0,0.0
103,1963,BRM,58.0,1,2.6,2.0,0.0,0.2
104,1963,BRP BRM,6.0,4,1.2,0.0,0.0,0.0
105,1963,Brabham Climax,33.0,3,1.736842105263158,0.0,1.0,0.0
106,1963,Brabham Ford,0.0,4,0.0,0.0,0.0,0.0
107,1963,Cooper Climax,32.0,4,1.0,0.0,0.0,0.0
108,1963,Cooper Maserati,0.0,4,0.0,0.0,0.0,0.0
109,1963,Ferrari,29.0,4,1.5,1.0,3.0,0.1
110,1963,Gilby BRM,0.0,4,0.0,0.0,0.0,0.0
111,1963,LDS Alfa Romeo,0.0,4,0.0,0.0,0.0,0.0
112,1963,Lola Climax,0.0,4,0.0,0.0,0.0,0.0
113,1963,Lotus BRM,4.0,4,0.14814814814814814,0.0,0.0,0.0
114,1963,Lotus Climax,55.0,2,2.740740740740741,7.0,6.0,0.7
115,1963,Lotus Ford,0.0,4,0.0,0.0,0.0,0.0
116,1963,Porsche,5.0,4,0.5555555555555556,0.0,0.0,0.0
